From;To;Type;Through;x;y;x;y;
6052;5950;river_large;6751;4440;2358;4456;2369;
6000;6036;river_large;6753;4549;2258;4543;2241;
6036;6002;river_large;6753;4543;2241;4562;2244;
6000;6001;river_large;6754;4550;2264;4564;2268;
6000;6068;river_large;6754;4550;2264;4548;2280;
5956;6001;river_large;6754;4564;2286;4564;2268;
5956;6068;river_large;6754;4564;2286;4548;2280;
6026;6114;river_large;6744;4594;2148;4589;2128;
6026;6017;river_large;6744;4594;2148;4607;2135;
6114;6017;river_large;6744;4589;2128;4607;2135;
6176;6118;river_large;6743;4656;2080;4651;2066;
6176;5977;river_large;6743;4656;2080;4664;2068;
6118;5977;river_large;6743;4651;2066;4664;2068;
5995;6118;river_large;6742;4669;2041;4655;2053;
5995;5977;river_large;6742;4669;2041;4671;2057;
5993;6124;river_large;6741;-1;-1;-1;-1;
5993;5975;river_large;6741;-1;-1;-1;-1;
6124;5975;river_large;6741;-1;-1;-1;-1;
5981;5965;river_large;6755;4685;2134;4693;2151;
5981;6015;river_large;6755;4685;2134;4671;2147;
5965;6015;river_large;6755;4693;2151;4671;2147;
5722;6200;river_large;6787;-1;-1;-1;-1;
6684;5940;river_large;6786;-1;-1;-1;-1;
6094;5942;river_large;6785;-1;-1;-1;-1;
6096;5944;river_large;6784;-1;-1;-1;-1;
6071;6087;river_large;6779;-1;-1;-1;-1;
6080;6038;river_large;6775;-1;-1;-1;-1;
6039;6043;river_large;6769;-1;-1;-1;-1;
6045;6064;river_large;6783;-1;-1;-1;-1;
6063;5953;river_large;6768;-1;-1;-1;-1;
6009;5961;river_large;6765;-1;-1;-1;-1;
5984;5969;river_large;6756;-1;-1;-1;-1;
5983;5967;river_large;6758;-1;-1;-1;-1;
5998;6121;river_large;6760;-1;-1;-1;-1;
5979;6023;river_large;6762;-1;-1;-1;-1;
6175;6152;river_large;6789;-1;-1;-1;-1;
6148;6170;river_large;6790;-1;-1;-1;-1;
6144;6165;river_large;6792;-1;-1;-1;-1;
6163;6142;river_large;6793;-1;-1;-1;-1;
6139;6160;river_large;6794;-1;-1;-1;-1;
6156;6135;river_large;6796;-1;-1;-1;-1;
6126;6133;river_large;6797;-1;-1;-1;-1;
5899;6130;river_large;6798;-1;-1;-1;-1;
6651;6128;river_large;6799;-1;-1;-1;-1;
6396;6401;river_large;6812;-1;-1;-1;-1;
6375;6367;river_large;6814;-1;-1;-1;-1;
5972;5971;river_large;6756;-1;-1;-1;-1;
2637;1807;sea;6826;-1;-1;-1;-1;
1995;1563;sea;6816;-1;-1;-1;-1;
1995;6889;sea;6816;-1;-1;-1;-1;
2429;6889;sea;6816;-1;-1;-1;-1;
6316;6180;sea;6803;-1;-1;-1;-1;
5666;10;sea;6822;-1;-1;-1;-1;
1453;119;sea;6822;-1;-1;-1;-1;
2204;2637;sea;6826;-1;-1;-1;-1;
2141;193;sea;6828;-1;-1;-1;-1;
2074;1804;sea;6829;-1;-1;-1;-1;
6112;6029;river_large;6772;4562;2168;4563;2184;
6028;6008;river_large;6770;4587;2180;4599;2190;
6022;6116;river_large;6763;4618;2087;4636;2089;
6155;6178;river_large;6788;-1;-1;-1;-1;
-1;-1;;-1;-1
